track_id,track_name,duration_minutes,popularity,explicit,primary_artist,all_artists,artist_count,artist_popularity,artist_followers,primary_genres,all_genres,genre_count,album_name,album_type,release_date,market,source_id,content_source,is_collaboration,is_recent,popularity_tier,duration_category
5xqfAyA4isdnwpwZrUFGKY,Tak Ingin Lagi,3.58,24,false,Oslo Ibrahim,Oslo Ibrahim,1,31,30184,indonesian indie,indonesian indie | indonesian r&b,2,Head Head Head,album,2024-09-06T00:00:00.000+07:00,BN,33FyjsUxmurzCXDwfqaZdG,new_releases,false,true,Niche,Long
3OVMe3H6iAxbLF8iD2UYrw,Chúng Ta Của Tương Lai,4.16,60,false,Sơn Tùng M-TP,Sơn Tùng M-TP,1,64,7325171,v-pop,v-pop | vietnamese hip hop | vinahouse,3,Chúng Ta Của Tương Lai,single,2024-03-08T00:00:00.000+07:00,BN,7daUoULVORfrXVg0kTAhBc,new_releases,false,true,Popular,Long
720cFmiRJj0brle3kQ7nHH,Dreams From Bunker Hill,3.65,68,false,Cigarettes After Sex,Cigarettes After Sex,1,83,17261912,dream pop,dream pop,1,X's,album,2024-07-12T00:00:00.000+07:00,BO,10i6evsxSFs2fuPQRWvI6I,new_releases,false,true,Popular,Long
2sElXzZQrp2vSKCpLiSHKG,Rainy Miami,2.38,11,false,Tiji Jojo,Tiji Jojo,1,57,49840,j-rap,hip hop | j-rap,2,FNF,album,2025-03-07T00:00:00.000+07:00,BR,65zERkLZ5jhy7Emo8oEMWz,new_releases,false,true,Underground,Standard
2kHjNMbCpe9uGXEHJzkoDR,Mấy Đứa Nhóc,4.38,42,true,Wxrdie,Wxrdie,1,60,687456,vietnamese hip hop,v-pop | vietnamese hip hop,2,THE WXRDIES,album,2024-11-12T00:00:00.000+07:00,BS,1wmnEWgcDdCcOujQpLwYxc,new_releases,false,true,Moderate,Long
239qO2wF2brFlXbg2hBX8l,Nothing Else Feels The Same,3.08,22,true,LOONY,LOONY,1,37,59421,alternative r&b,alternative r&b,1,Nothing Else Feels The Same,single,2023-12-08T00:00:00.000+07:00,BS,5qBY1K1C7QoXWlmZ2yvV5L,new_releases,false,true,Niche,Standard
12rIwDpMKwx77nV5O998nB,Băng Qua Cầu Giấy,3.44,50,true,Wxrdie,Wxrdie | RPT JasonDilla,2,60,687456,vietnamese hip hop,v-pop | vietnamese hip hop,2,THE WXRDIES,album,2024-11-12T00:00:00.000+07:00,BW,1wmnEWgcDdCcOujQpLwYxc,new_releases,true,true,Moderate,Standard
6FMx7MQdkHSTkuELW9Am42,hơi sai,3.84,12,false,T.R.I,T.R.I,1,52,271264,v-pop,v-pop | vietnam indie | vietnamese hip hop | vietnamese lo-fi,4,bíc iu,album,2023-11-28T00:00:00.000+07:00,BY,40enaPIYSa75HfEDU06Dqh,new_releases,false,true,Underground,Long
63EbNEB1rrRaDjNXK4jlJC,LOVE ME LIKE YOU,3.05,39,false,Rahmania Astrini,Rahmania Astrini,1,39,190412,indonesian r&b,indonesian jazz | indonesian pop | indonesian r&b,3,LOVE ME LIKE YOU,single,2024-09-06T00:00:00.000+07:00,BZ,0kjnm700HNnAVp3S7TK2n8,new_releases,false,true,Niche,Standard
6Pwiut77nYLas41QLalwNm,Kite War,5.94,37,false,HYUKOH,HYUKOH | 落日飛車 Sunset Rollercoaster,2,51,731949,k-rock,bedroom pop | chinese indie | k-ballad | k-rock | taiwanese indie,5,AAA,album,2024-07-10T00:00:00.000+07:00,AD,1tEu6qNPURb0YfjaRDK23w,new_releases,true,true,Niche,Extended
1DZNsoWduUjm2o04R47rDk,Hot,3.96,61,true,Cigarettes After Sex,Cigarettes After Sex,1,83,17261912,dream pop,dream pop,1,X's,album,2024-07-12T00:00:00.000+07:00,AD,10i6evsxSFs2fuPQRWvI6I,new_releases,false,true,Popular,Long
0d6TITFrIBX5OIfvoMqPaB,Thrill Again,3.93,37,false,ZHU,ZHU | UPSAHL,2,60,970556,edm,edm,1,Thrill Again,single,2024-02-09T00:00:00.000+07:00,AD,1pXm1JY9f142BiqV3bNRjd,new_releases,true,true,Niche,Long
07ae5qhfeZfhm5OXdocmfM,HẾT HƠI,3.09,23,false,Coldzy,Coldzy,1,44,58245,vietnamese hip hop,v-pop | vietnam indie | vietnamese hip hop,3,MEDICINE,album,2024-06-03T00:00:00.000+07:00,AE,6QOYGkZuyXSpEZubRkR0oI,new_releases,false,true,Niche,Standard
0VuFk53c4raMOONjMCvT8E,Take Me,3.65,40,false,Dreane,Dreane,1,31,10608,indonesian indie,indonesian indie | indonesian r&b,2,Take Me,single,2024-01-26T00:00:00.000+07:00,AG,31yx6tPI7RvMRN0yvDqf4r,new_releases,false,true,Moderate,Long
1cuTl5iuuc1OIv1pNSDnOy,Tonight,2.91,43,false,PinkPantheress,PinkPantheress,1,77,4730146,bedroom pop,bedroom pop,1,Stateside,single,2025-04-25T00:00:00.000+07:00,AL,5YDrgVxfvOkmp1OYjXB29z,new_releases,false,true,Moderate,Standard
5U47vFt1VdUa3l0jbWYrWF,Another Heartbreak,4.08,19,false,Oslo Ibrahim,Oslo Ibrahim,1,31,30184,indonesian indie,indonesian indie | indonesian r&b,2,Head Head Head,album,2024-09-06T00:00:00.000+07:00,AL,33FyjsUxmurzCXDwfqaZdG,new_releases,false,true,Underground,Long
7dXWHT8Y4zwWS4NVgOWZNM,Raze the Bar,3.09,28,false,Travis,Travis,1,58,1148669,britpop,britpop,1,L.A. Times,album,2024-07-12T00:00:00.000+07:00,AL,7wYyR1xrLO0uWxBlanysNT,new_releases,false,true,Niche,Standard
0VWHhUe3OxsnLDFnMMhjJM,Lonely Stonie,3.1,53,true,Wxrdie,Wxrdie,1,60,687456,vietnamese hip hop,v-pop | vietnamese hip hop,2,THE WXRDIES,album,2024-11-12T00:00:00.000+07:00,AM,1wmnEWgcDdCcOujQpLwYxc,new_releases,false,true,Moderate,Standard
52KxsRBZj7Ip9HdxgvEQbO,Insomnia,3.42,51,false,Eve,Eve,1,64,2617870,anime,anime | j-pop | j-rock | japanese indie | vocaloid,5,Insomnia,single,2024-03-01T00:00:00.000+07:00,AM,51QJlvJclfVB6jNNXlDatS,new_releases,false,true,Moderate,Standard
7CX6d03WPBX0P3ttSAtEcm,I Love About You,3.08,44,false,Pamungkas,Pamungkas,1,71,6820870,indonesian indie,indonesian indie | indonesian pop,2,Hardcore Romance,album,2024-08-21T00:00:00.000+07:00,AO,4LvgUXgET9nwyO1wpRpR0Y,new_releases,false,true,Moderate,Standard
62vg65Oo3TDjHBsHUIpB3J,NRE.,2.64,10,false,Tiji Jojo,Tiji Jojo,1,57,49840,j-rap,hip hop | j-rap,2,FNF,album,2025-03-07T00:00:00.000+07:00,AT,65zERkLZ5jhy7Emo8oEMWz,new_releases,false,true,Underground,Standard
1c6a2zew4c6ZqNDPi6VOOw,Nhắm Mắt,3.07,33,false,Lil Wuyn,Lil Wuyn | Spyder | Kwzzzy,3,46,172612,vietnamese hip hop,v-pop | vietnam indie | vietnamese hip hop,3,An,album,2024-06-12T00:00:00.000+07:00,AT,0J9ZJ2vnTHm4NpzKVE779w,new_releases,true,true,Niche,Standard
5qwTV8pr5mU9Fb2HPLyNis,Devastated,3.86,26,false,Aziz Hedra,Aziz Hedra,1,60,927021,indonesian pop,indonesian pop,1,Lesson Learned,album,2024-08-09T00:00:00.000+07:00,BA,1ShrAiTDbq2soLmIpmIvd8,new_releases,false,true,Niche,Long
0FxhxzAZGcUc9YTAdlaTQo,Hideaway,4.61,64,false,Cigarettes After Sex,Cigarettes After Sex,1,83,17261912,dream pop,dream pop,1,X's,album,2024-07-12T00:00:00.000+07:00,BA,10i6evsxSFs2fuPQRWvI6I,new_releases,false,true,Popular,Long
06spxvvLVo3m1GV3jT0ZjP,My Oh My (with Bebe Rexha & Tove Lo),3.02,47,false,Kylie Minogue,Kylie Minogue | Bebe Rexha | Tove Lo,3,69,2253148,dance pop,dance pop,1,My Oh My (with Bebe Rexha & Tove Lo),single,2024-07-11T00:00:00.000+07:00,BA,6L5PWde8zjpIa2C6SIjNv8,new_releases,true,true,Moderate,Standard
4JnFhRv9VhxxrshKvVDnqh,Gia Tài,3.53,40,true,Wxrdie,Wxrdie | BABY $MOKE,2,60,687456,vietnamese hip hop,v-pop | vietnamese hip hop,2,THE WXRDIES,album,2024-11-12T00:00:00.000+07:00,BD,1wmnEWgcDdCcOujQpLwYxc,new_releases,true,true,Moderate,Long
3Xvao3VV3kUVSnR93bBZ4B,Heartless,3.84,24,false,Aziz Hedra,Aziz Hedra,1,60,927021,indonesian pop,indonesian pop,1,Lesson Learned,album,2024-08-09T00:00:00.000+07:00,BE,1ShrAiTDbq2soLmIpmIvd8,new_releases,false,true,Niche,Long
0l7pTIk20PHJZxNYgQcON1,How Could You Still Love Me,4.41,14,false,Oslo Ibrahim,Oslo Ibrahim,1,31,30184,indonesian indie,indonesian indie | indonesian r&b,2,How Could You Still Love Me,single,2024-07-12T00:00:00.000+07:00,BE,4nTE31Iy6lAONpS9kT6v33,new_releases,false,true,Underground,Long
5m1odxT5tp6N4IomCpeegO,Naked In New York City - Stripped,4.35,12,false,Travis,Travis,1,58,1148669,britpop,britpop,1,L.A. Times,album,2024-07-12T00:00:00.000+07:00,BF,7wYyR1xrLO0uWxBlanysNT,new_releases,false,true,Underground,Long
1Xehs3MscmdYqsEdpgSnPE,Friday Night Fantasy,2.07,20,false,Tiji Jojo,Tiji Jojo,1,57,49840,j-rap,hip hop | j-rap,2,FNF,album,2025-03-07T00:00:00.000+07:00,BG,65zERkLZ5jhy7Emo8oEMWz,new_releases,false,true,Niche,Standard
